极致播放器专用源

发布频道：https://t.me/jizhi111
交流讨论：https://t.me/jizhi222

js=smart

SmartTV-馬來西亞,#genre#
TV1,http://?id=TV1
TV1 backup,http://?id=TV1_backup
TV2,http://?id=TV2
TV3,http://?id=TV3
TV3 backup,http://?id=tv3_twn
NTV7,http://?id=NTV7
TV8,http://?id=TV8
TV9,http://?id=TV9
Warna,http://?id=Warna-O
Warna backup,http://?id=Warna
Ria,http://?id=Ria-0
Ria backup,http://?id=Ria49
Ria-3,http://?id=Ria_quanjia
Al-Hijrah,http://?id=Alhijrah
Al-Hijrah backup,http://?id=Alhijrah_backup
Awani,http://?id=Awani
Bernama,http://?id=Bernama
Prima,http://?id=Prima-0
Prima backup,http://?id=Prima49
Ceria,http://?id=Ceria
Astro MTV,http://?id=AstroMTV
Mecca Live HD,http://?id=quran_mido
Madinah HD,http://?id=sunnah_mido
Oasis,http://?id=Oasis
HBO HD,http://?id=Hbo
HBO Signature,http://?id=Hbosignature
HBO Hits,http://?id=Hbohits
NatGeo Wild HD,http://?id=Natgeowild
Cartoon Network,http://?id=Cn
Nickelodeon,http://?id=Nickelodeon
Nick Jr,http://?id=Nickjr
Citra,http://?id=Citra
Sensasi,http://?id=Sensasi
Aura,http://?id=Aura
Rania,http://?id=Rania
Boo,http://?id=Boo
Awesome TV,http://?id=Awesome_mega
Sony HD,http://?id=SetOne
KBS World,http://?id=KBS
TvN,http://?id=TVN
Astro Premier,http://?id=Astropremier
AEC,http://?id=AEC
华丽台 HD （Wah Lai Toi）,http://?id=Wlt
欢喜台 HD （Hua Hee Tai）,http://?id=Huahee
欢喜台 backup,http://?id=Huahee_backup
Astro QJ,http://?id=Quanjia
TVB Jade,http://?id=Tvbjade
TVB Asia,http://?id=Tvbasia
TVB Entertainment,http://?id=Tvbentertainment
TVB Classic,http://?id=Tvbclassic
AOD,http://?id=AodHD
One,http://?id=One_mega
TVB 星河台  Xing He,http://?id=Xinhe
爱奇艺 iQiyi,http://?id=Qiyi
Animal Planet (Eng),http://?id=AnimalPlanet
tvN Movie,http://?id=Tvnmovie
CNN backup,http://?id=cnn_twn
